tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,bear+hunt,r,n,MOT,31967460_31968890,bear
*FAN,bear+hunt,r,y,MOT,32017910_32019550,bear
*FAN,bear+hunt,r,n,MOT,32054070_32054670,bear
*CHN,bear+hunt,r,n,MOT,32084370_32085480,bear
*FAN,bear+hunt,r,n,MOT,32124880_32125480,bear
*FAN,bear+hunt,r,n,MOT,32158420_32159640,bear
*FAN,bear+hunt,r,n,MOT,32238650_32239290,bear
*MAN,bear+hunt,d,n,FAT,38863990_38865400,bear
*CXN,bear+hunt,d,n,TVS,39504570_39506610,bear
*CXN,bear+hunt,q,n,TVS,39511690_39512490,bear
*CXN,bear+hunt,s,n,TVS,39521400_39522200,bear
*TVF,bear+hunt,d,n,TVS,39545100_39546100,bear
*FAN,ball,q,y,MOT,35790_37200,ball
*OLN,ball,q,y,MOT,42150_43350,ball
*SIL,ball,q,y,MOT,115660_117270,ball
*OLN,ball,q,y,MOT,8037000_8037830,ball
*CXN,ball,q,y,MOT,8530140_8531260,ball
*FAN,ball,d,n,MOT,15716480_15718140,ball
*FAN,ball,d,n,MOT,15760980_15764220,ball
*FAN,ball,d,n,MOT,15760980_15764220,ball
*OLN,ball,q,y,MOT,15773910_15775080,ball
*CXN,ball,q,y,MOT,15775880_15776910,ball
*FAN,ball,r,d,MOT,18661590_18663370,ball
*FAN,nose,d,n,MOT,1274930_1276710,nose
*SIL,nose,d,y,MOT,1285100_1286240,nose
*OLN,nose,d,y,MOT,3697450_3699610,nose
*FAN,nose,q,y,MOT,7987200_7988450,nose
*CHN,nose,r,n,MOT,18000510_18002410,nose
*FAN,nose,r,y,MOT,18761540_18763970,nose
*FAN,nose,r,y,MOT,18764600_18766170,nose
*OLN,nose,d,n,MOT,29685930_29686730,nose
*FAN,nose,d,y,MOT,29824770_29827840,nose
*OLF,nose,d,y,MOT,29828910_29829810,nose
*FAN,nose,r,y,MOT,32192050_32195080,nose
*FAN,dog,r,y,MOT,5047450_5049410,dog
*OLN,dog,r,y,MOT,5110470_5112540,dog
*FAN,dog,r,y,MOT,18571180_18573450,dog
*FAN,gifts,r,y,MOT,18648270_18652120,gift
*FAN,dog,r,y,MOT,18648270_18652120,dog
*FAN,gift,r,y,MOT,18683810_18687390,gift
*FAN,dog,r,y,MOT,18683810_18687390,dog
*FAN,pinata,r,y,MOT,18683810_18687390,pinata
*OLN,dog,d,y,MOT,18734890_18735860,dog
*FAN,gift,r,y,MOT,18754720_18757430,gift
*FAN,dog,r,y,MOT,18754720_18757430,dog
*FAN,dog,r,y,MOT,18861480_18862510,dog
*FAN,dog,r,y,MOT,32405070_32405850,dog
*FAN,dog,r,y,MOT,32532020_32533880,dog
*FAN,diaper,q,y,MOT,2181330_2183310,diaper
*FAN,diaper,q,n,MOT,6808710_6809750,diaper
*FAN,diaper,d,y,MOT,7130920_7132590,diaper
*OLN,diaper,d,n,MOT,17294310_17295240,diaper
*FAN,diaper,d,n,MOT,17297830_17300940,diaper
*FAN,diaper,d,y,MOT,17572700_17575340,diaper
*FAN,diaper,d,n,MOT,29669150_29669760,diaper
*FAN,diaper,q,y,MOT,29756880_29757880,diaper
*FAN,mitten,r,y,MOT,5293030_5296250,mitten
*FAN,mitten,r,y,MOT,5308280_5310270,mitten
*FAN,mitten,r,y,MOT,5316100_5319160,mitten
*FAN,mitten,r,y,MOT,5336300_5337190,mitten
*FAN,hat,r,y,MOT,5336300_5337190,hat
*FAN,mitten,r,y,MOT,5344680_5345690,mitten
*FAN,mitten,r,y,MOT,5356950_5359310,mitten
*FAN,cat,r,y,MOT,5356950_5359310,cat
*CXN,mitten,r,y,MOT,5370920_5371920,mitten
*FAN,mitten,r,y,MOT,5436250_5438950,mitten
*FAN,snow,r,y,MOT,4219260_4222480,snow
*FAN,snow,d,n,MOT,4237250_4239980,snow
*FAN,snowman,d,n,MOT,4237250_4239980,snowman
*FAN,snow,d,n,MOT,4240770_4244110,snow
*FAN,snowman+building,d,n,MOT,4240770_4244110,snowman
*FAN,balls,r,y,MOT,4275620_4282920,ball
*FAN,snow,r,y,MOT,4275620_4282920,snow
*FAN,christmas+tree,r,y,MOT,4275620_4282920,christmas+tree
*FAN,sack,r,y,MOT,4333140_4340770,sack
*FAN,snow,r,y,MOT,4333140_4340770,snow
*FAN,hands,r,y,MOT,4357980_4367770,hand
*FAN,fiddler,r,y,MOT,4357980_4367770,NA
*FAN,bells,r,n,MOT,4357980_4367770,bell
*FAN,snow,r,y,MOT,4357980_4367770,snow
*FAN,snow,r,y,MOT,5452250_5454260,snow
*FAN,snow,r,y,MOT,19010130_19011290,snow
*FAN,train,r,y,MOT,5050020_5051040,train
*FAN,train,r,y,MOT,5053520_5055820,train
*FAN,train,r,y,MOT,5065990_5070680,train
*FAN,bridge,r,y,MOT,5065990_5070680,bridge
*OLN,train,r,y,MOT,5084160_5085430,train
*OLN,mountain,r,y,MOT,5084160_5085430,mountain
*OLF,train,r,y,MOT,5101280_5102740,train
*FAN,train,q,y,MOT,5115790_5116820,train
*FAN,train,r,y,MOT,5214840_5215700,train
*FAN,train,d,y,MOT,5239520_5242220,train
*FAN,bed,r,y,MOT,4203330_4206830,bed
*FAN,treats,r,n,MOT,4203330_4206830,NA
*FAN,bed,r,y,MOT,5833540_5836880,bed
*FAN,bed,d,y,MOT,5843750_5844750,bed
*FAN,bed,r,y,MOT,5978670_5980050,bed
*FAN,fire,r,y,MOT,5978670_5980050,fire
*FAN,bed,r,y,MOT,19033630_19036930,bed
