labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
0,110895,112752,monkey,q,y,MOT,monkey
1,112753,114403,nose,q,y,MOT,nose
2,221425,225021,tooth,q,y,MOT,tooth
3,310900,312822,bear,d,y,MOT,bear
4,325713,328937,tummy,d,y,MOT,tummy
5,497204,499622,bells,s,n,MOT,bell
6,509673,511191,teether,q,y,MOT,teether
7,514063,515196,heart,d,y,MOT,heart
8,662053,664471,nose,d,y,MOT,nose
9,858882,860430,block,q,y,MOT,block
10,875733,877811,tower,q,n,SIS,tower
11,877812,883768,cash+register,d,y,MOT,cash+register
12,951661,953303,letters,q,y,MOT,letter
13,1004633,1006430,j,n,y,MOT,J
14,1006431,1008450,u,n,y,MOT,U
15,1008451,1014265,d,n,y,MOT,D
16,1014266,1018926,a,n,n,MOT,A
17,1039755,1043050,j,d,n,MOT,J
18,1039756,1043050,u,d,n,MOT,U
19,1039757,1043050,d,d,n,MOT,D
20,1039758,1055475,a,d,n,MOT,A
21,1044317,1040284,h,n,n,MOT,H
22,1052010,1055705,j,s,y,MOT,J
23,1052010,1055705,u,s,y,MOT,U
24,1052010,1055705,d,s,y,MOT,D
25,1052010,1055705,a,s,y,MOT,A
26,1052012,1055705,h,s,y,MOT,H
27,1065720,1067177,tower,i,y,MOT,tower
28,1078995,1085676,tower,d,y,MOT,tower
29,1146190,1147862,blocks,q,y,MOT,block
30,1191521,1193429,seat,d,n,MOT,NA
31,1193547,1197360,food,d,n,MOT,NA
32,1194361,1194361,%com: seat of blocks,NA,NA,NA,NA
33,1236197,1238744,seat,d,n,MOT,NA
34,1239833,1241568,chair,d,n,MOT,NA
35,1268339,1276677,food,q,y,MOT,NA
36,1278679,1279950,basket,q,y,MOT,basket
37,1283130,1284554,basket,q,y,MOT,basket
38,1284555,1286494,owl+head,q,y,MOT,owl
39,1288199,1289562,owl,q,y,MOT,owl
40,1370285,1371896,square,d,y,MOT,square 
41,1376274,1377792,elephant,d,y,MOT,elephant
42,1379306,1381258,elephant,d,y,MOT,elephant
43,1418149,1419635,triangle,d,y,MOT,triangle
44,1421001,1422799,squares,d,y,MOT,square 
45,1506850,1508617,diaper,d,n,MOT,diaper
46,1594649,1596075,head,q,y,MOT,head
47,1654124,1656574,watermelon,n,y,MOT,watermelon
48,1701356,1704037,teeth,q,y,MOT,tooth
49,1776994,1779225,block,q,y,MOT,block
50,1813337,1814917,diaper,q,n,MOT,diaper
51,1833775,1836006,diaper,d,n,MOT,diaper
52,1937717,1939638,keys,d,y,MOT,key
53,2031896,2033372,keys,q,y,MOT,key
54,2035994,2037451,door,q,n,MOT,door
55,2038791,2040091,car,q,n,MOT,car
56,2049105,2052173,head,d,y,MOT,head
57,2177132,2178092,keys,d,y,MOT,key
