tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*CXN,books,d,y,SIS,6519190_6519810,book
*CXN,books,d,y,SIS,6602950_6604910,book
*FAF,books,d,y,MOT,15465950_15466950,book
*SIL,books,q,y,MOT,17701490_17702310,book
*FAN,books,q,y,MOT,21412490_21413630,book
*FAN,books,n,y,MOT,21415030_21416520,book
*FAN,books,n,y,MOT,21415030_21416520,book
*FAN,books,n,y,MOT,21416520_21417800,book
*FAN,books,n,y,MOT,21416520_21417800,book
*OLF,books,n,y,MOT,21417800_21418610,book
*FAN,books,n,y,MOT,21425060_21426120,book
*FAN,books,n,y,MOT,21426120_21426940,book
*FAN,books,s,y,MOT,21426940_21429470,book
*FAN,books,s,y,MOT,21426940_21429470,book
*FAN,books,s,y,MOT,21426940_21429470,book
*FAN,apples,d,y,MOT,2994430_2998170,apple
*FAN,applesauce,d,n,MOT,2994430_2998170,applesauce
*FAN,applesauce,d,y,MOT,3807910_3809060,applesauce
*CXN,applesauce,d,y,MOT,34150550_34151370,applesauce
*FAN,applesauce,s,y,MFT,40092780_40095110,applesauce
*FAN,applesauce,n,y,MOT,40383280_40387000,applesauce
*FAN,pepper,n,y,MOT,40383280_40387000,pepper
*FAN,broccoli,d,y,MOT,40383280_40387000,broccoli
*MAN,applesauce,d,y,FAT,40966270_40967700,applesauce
*OLN,broccoli,n,y,MOT,41179980_41182740,broccoli
*OLN,applesauce,n,y,MOT,41179980_41182740,applesauce
*CXN,applesauce,d,y,SIS,41196870_41198760,applesauce
*OLN,applesauce,d,y,SIS,41329420_41330320,applesauce
*FAN,applesauce,d,y,MOT,41330320_41331850,applesauce
*CXN,book,d,y,SIS,6392330_6393440,book
*CXN,book,d,y,SIS,6440500_6442000,book
*OLN,book,d,y,SIS,6446530_6448190,book
*CXN,book,d,y,SIS,6451920_6452720,book
*CXN,book,d,y,SIS,6458870_6460460,book
*SIL,book,d,y,SIS,6468770_6469700,book
*CXN,book,d,y,SIS,6623700_6626650,book
*CXN,book,q,y,MOT,6701630_6702700,book
*OLF,book,r,y,MOT,9147380_9148470,book
*SIL,book,q,y,MOT,15547660_15550050,book
*MAN,broccoli,d,y,FAT,40457180_40458950,broccoli
*MAN,broccoli,d,y,FAT,41004620_41006160,broccoli
*MAN,broccoli,d,y,FAT,41006960_41007970,broccoli
*OLF,broccoli,d,y,MOT,41331850_41333470,broccoli
*FAN,broccoli,d,y,MOT,42183660_42184780,broccoli
*FAN,broccoli,d,y,MOT,42396990_42399020,broccoli
*FAN,floor,d,y,MOT,42396990_42399020,floor
*MAN,broccoli,s,n,FAT,42462010_42464770,broccoli
*FAN,broccoli,d,n,MOT,43473790_43476860,broccoli
*FAN,duck,q,y,MOT,43388030_43389030,duck
*FAN,duck,n,y,MOT,43389830_43391500,duck
*FAN,duck,q,y,MOT,43389830_43391500,duck
*FAN,duck,d,y,MOT,43408070_43409070,duck
*FAN,duck,d,y,MOT,43409670_43411400,duck
*FAN,duck,d,y,MOT,43733730_43734740,duck
*FAN,duck,q,y,MOT,43741000_43742020,duck
*OLF,duck,d,y,MOT,43749250_43750420,duck
*FAN,duck,q,y,MOT,43808290_43809590,duck
*FAN,monkey,q,y,MOT,228110_229110,monkey
*FAF,monkey,q,y,MOT,244280_245280,monkey
*FAF,monkey,q,y,MOT,276240_277240,monkey
