labeled_object_GC.ordinal,labeled_object_GC.onset,labeled_object_GC.offset,labeled_object_GC.object,labeled_object_GC.utterance_type,labeled_object_GC.object_present,labeled_object_GC.speaker,basic_level
64,1349918,1349918,%com: bites in reference to spoonfuls of food,NA,NA,NA,NA
3,29507,33474,anteater,n,y,MOT,anteater
43,674783,678211,apple,d,n,MOT,apple
140,2648973,2653076,bacon,d,n,MOT,bacon
141,2652826,2654806,bacon,d,n,FAT,bacon
142,2654806,2656606,bacon,d,n,FAT,bacon
134,2601324,2605977,balls,q,y,MOT,ball
28,525695,529824,belly,s,y,MOT,belly
29,527824,529824,belly,s,y,MOT,belly
30,533230,536644,belly,s,y,MOT,belly
31,534644,536644,belly,s,y,MOT,belly
129,2452057,2454169,bicycle+hats,n,n,MOT,bicycle+hat
130,2453404,2455824,bicycle+hats,d,n,FAT,bicycle+hat
156,2832000,2834418,bird,n,n,FAT,bird
63,1348918,1352815,bites,q,y,MOT,NA
11,189091,192144,blanket,d,y,MOT,blanket
7,76209,79277,blocks,d,y,MOT,block
17,324888,326669,blue,n,y,MOT,NA
33,583786,587060,boogers,d,y,MOT,NA
22,434157,436723,boogie,q,y,MOT,NA
32,573341,578368,boogies,d,y,MOT,NA
74,1694417,1697071,bottle,q,n,MOT,bottle
79,1756494,1760933,bottle,n,y,MOT,bottle
80,1778256,1780682,bottle,d,y,MOT,bottle
47,718113,721695,brontosaurus,n,n,MOT,brontosaurus
65,1351816,1354910,buttons,d,n,MOT,button
34,604351,608398,camera,d,y,MOT,camera
161,2910699,2913028,camera,q,n,MOT,camera
162,3006896,3011245,camera,d,n,FAT,camera
163,3009920,3013412,camera,d,n,FAT,camera
164,3014656,3018241,camera,d,n,MOT,camera
183,3302029,3304363,camera,d,n,FAT,camera
169,3066862,3071856,car,d,y,FAT,car
150,2748729,2752318,cheese,d,n,MOT,cheese
149,2739177,2741888,chicken,d,n,FAT,chicken
38,647386,651407,chili+sauce,q,y,MOT,chili+sauce
13,248701,251214,chin,i,y,MOT,chin
135,2619869,2621317,chips,q,y,FAT,chip
136,2620900,2624718,chips,q,y,MOT,chip
86,2004317,2007598,chocolate+chip,q,n,MOT,chocolate+chip
84,1993148,1996863,chocolate+chip+pancakes,d,n,MOT,pancake
171,3079383,3083224,computer,d,y,MOT,computer
172,3083224,3085889,computers,d,y,FAT,computer
138,2624718,2630207,cupboard,d,n,FAT,cupboard
8,84244,87779,cups,d,y,MOT,cup
12,220089,223452,cups,d,y,MOT,cup
146,2720067,2723357,dentures,q,n,FAT,dentures
119,2338074,2342233,dinosaur,d,n,MOT,dinosaur
120,2367184,2371599,dinosaur,d,n,MOT,dinosaur
5,62479,66199,dinosaur+books,d,n,MOT,book
116,2327226,2329956,dinosaur+game,d,n,MOT,NA
4,57932,61435,dinosaurs,d,n,MOT,dinosaur
48,723471,728438,dinosaurs,d,n,MOT,dinosaur
118,2329956,2332304,dinosaurs,d,n,MOT,dinosaur
124,2376723,2379079,dinosaurs,d,n,MOT,dinosaur
165,3026175,3028514,eyes,d,y,MOT,eye
61,1280898,1283723,face,d,y,MOT,face
77,1716755,1721306,face,i,y,MOT,face
160,2902543,2906978,face,d,y,MOT,face
166,3041286,3043706,feet,d,n,MOT,foot
2,24685,26856,floor,d,y,MOT,NA
89,2112491,2114111,floor,d,y,MOT,NA
45,697223,699738,formula,d,y,MOT,formula
39,658987,662775,fruit,d,n,MOT,NA
57,1165034,1166709,fruit,d,n,MOT,NA
113,2303895,2306780,glasses,i,y,FAT,glasses
131,2455404,2457824,glasses,d,n,FAT,glasses
184,3312849,3316190,glasses,d,n,MOT,glasses
20,329000,331907,green,d,y,MOT,NA
21,330907,337789,green,d,y,MOT,NA
78,1721306,1723940,hands,d,y,MOT,hand
123,2372012,2374663,hands,d,n,MOT,hand
25,466126,470942,hat,q,y,MOT,hat
26,506004,511074,hat,i,y,MOT,hat
69,1483280,1487142,hat,i,y,MOT,hat
73,1627860,1631522,hat,i,y,MOT,hat
94,2170145,2172193,hat,i,y,MOT,hat
95,2207441,2210557,hat,q,y,MOT,hat
112,2250324,2254301,hat,d,y,FAT,hat
27,510074,524898,head,q,y,MOT,head
6,70890,75664,house,q,n,MOT,house
10,162497,164759,house,q,n,MOT,house
55,1045576,1047766,house,d,n,MOT,house
66,1403839,1406906,jar,q,y,MOT,jar
114,2319667,2321587,jar,d,n,MOT,jar
115,2321587,2325641,jar,q,n,MOT,jar
0,16538,19933,lamp,q,y,MOT,lamp
52,1032085,1035760,lamp,d,n,MOT,lamp
53,1033760,1036877,lamp,d,n,MOT,lamp
1,24685,26856,lamps,d,n,MOT,lamp
90,2127048,2134111,legs,d,y,MOT,leg
16,322854,325152,light+blue,n,y,MOT,NA
54,1035877,1038419,lights,d,n,MOT,NA
37,644537,647386,maple+syrup,q,y,MOT,maple+syrup
36,641605,644537,milk,q,y,MOT,milk
75,1695071,1698991,milk,n,n,MOT,milk
76,1698999,1701410,milk,d,n,MOT,milk
81,1947613,1949319,milk,q,y,MOT,milk
87,2037943,2041640,milk,q,y,MOT,milk
170,3072077,3075329,mouse,d,y,MOT,mouse
62,1280900,1283723,mouth,d,y,MOT,mouth
182,3291637,3296508,mouth,d,n,MOT,mouth
96,2213988,2218286,nacho,n,n,FAT,NA
97,2213988,2218286,nacho,n,n,FAT,NA
98,2213988,2218286,nacho,n,n,FAT,NA
99,2213988,2218286,nacho,n,n,FAT,NA
100,2213988,2218286,nacho,n,n,FAT,NA
101,2218286,2219607,nacho,n,n,FAT,NA
102,2219607,2222398,nacho,n,n,FAT,NA
103,2219607,2222398,nacho,n,n,FAT,NA
104,2219607,2222398,nacho,n,n,FAT,NA
105,2219607,2222398,nacho,n,n,FAT,NA
106,2219607,2222398,nacho,n,n,FAT,NA
107,2219607,2222398,nacho,n,n,FAT,NA
108,2222398,2225527,nacho,n,n,FAT,NA
109,2222398,2225527,nacho,n,n,FAT,NA
110,2222398,2225527,nacho,n,n,FAT,NA
111,2222398,2225527,nacho,n,n,FAT,NA
23,435723,438203,nose,q,y,MOT,nose
93,2137164,2139055,nose,q,y,MOT,nose
42,672070,678640,oatmeal,d,y,MOT,oatmeal
51,986307,989784,oatmeal,d,y,MOT,oatmeal
67,1415565,1418265,oatmeal,d,n,MOT,oatmeal
117,2329956,2332304,oatmeal,d,n,MOT,oatmeal
121,2369312,2371100,oatmeal,d,n,MOT,oatmeal
122,2370100,2372827,oatmeal,d,n,MOT,oatmeal
19,328024,330030,orange,n,y,MOT,NA
82,1986641,1989774,pancakes,d,n,MOT,pancake
139,2639593,2643005,pancakes,d,n,MOT,pancake
154,2791959,2794110,pants,s,n,MOT,pants
155,2798429,2802529,pants,s,n,MOT,pants
173,3102027,3103763,phones,d,n,FAT,phone
147,2736541,2739873,potato,d,n,FAT,potato
148,2738177,2741888,potato,d,n,FAT,potato
151,2755698,2763679,potato,d,n,MOT,potato
152,2755700,2760000,potato,d,n,MOT,potato
153,2785595,2790331,potato,d,n,FAT,potato
58,1173961,1178465,puffs,q,n,MOT,puff
143,2672106,2674928,puffs,d,n,FAT,puff
18,325152,328024,purple,n,y,MOT,NA
9,127149,130962,rain+stick,n,y,MOT,rain+stick
133,2579000,2581058,rain+stick,i,y,MOT,rain+stick
85,2003301,2007296,raspberry,q,n,MOT,raspberry
83,1990443,1994148,raspberry+pancakes,d,n,MOT,pancake
15,320999,322854,red,n,y,MOT,NA
137,2621017,2622900,salsa,q,y,FAT,salsa
157,2857484,2863082,salsa,d,n,FAT,salsa
158,2866868,2868598,salsa,d,n,MOT,salsa
159,2878608,2883565,salsa,d,n,MOT,salsa
49,790755,792866,seat,d,y,MOT,NA
128,2448288,2451113,spectacles,d,n,MOT,spectacles
56,1085524,1090241,spoon,q,y,MOT,spoon
35,629947,635378,squash,d,n,MOT,squash
41,665066,670070,squash,d,n,MOT,squash
70,1560719,1569388,squash,n,y,MOT,squash
71,1593206,1595534,squash,d,y,MOT,squash
40,660775,665066,sweet+potatoes,q,y,MOT,sweet+potato
50,970686,974811,sweet+potatoes,d,y,MOT,sweet+potato
68,1427288,1429435,sweet+potatoes,n,y,MOT,sweet+potato
46,713044,717388,t+rex,q,n,MOT,t+rex
88,2100388,2103180,table,q,y,MOT,table
176,3178051,3180150,teacher,d,n,FAT,teacher
177,3199550,3201793,teacher,d,n,FAT,teacher
178,3204879,3206598,teacher,d,n,FAT,teacher
179,3206747,3210384,teacher,d,n,FAT,teacher
180,3276889,3280285,teacher,q,n,MOT,teacher
174,3165909,3171872,teachers,q,n,FAT,teacher
175,3168112,3171747,teachers,d,n,FAT,teacher
144,2693894,2696934,teeth,q,n,FAT,tooth
145,2696934,2699239,teeth,d,n,FAT,tooth
24,438203,442589,tissue,d,n,MOT,tissue
91,2135202,2138721,tissue,q,y,MOT,tissue
92,2136163,2139055,tissue,d,y,MOT,tissue
59,1256371,1259333,toe,q,y,MOT,toe
60,1259333,1263156,toes,d,y,MOT,toe
167,3058595,3061798,toilet,d,n,MOT,toilet
181,3289312,3291637,tongue,d,n,FAT,tongue
72,1597970,1601819,vegetable,d,n,MOT,NA
44,690366,694061,water,d,y,MOT,water
168,3061798,3064438,water,d,n,MOT,water
127,2426271,2429379,weasel,s,n,FAT,weasel
132,2462742,2467050,weasel,s,n,MOT,weasel
125,2402551,2405266,wolf,d,y,FAT,wolf
126,2403266,2406786,wolf,d,y,FAT,wolf
14,316964,320999,yellow,d,y,MOT,NA
