tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,apple,d,n,FAT,34815350_34816500,apple
*FAN,arm,i,y,MOT,512300_513350,arm
*FAN,arm,i,y,MOT,520210_521210,arm
*MAN,art+project,d,n,FAT,529440_531410,NA
*MAN,avocado,q,n,GRP,1773820_1774910,avocado
*FAN,avocado,d,n,MOT,1777190_1778210,avocado
*MAN,babies,s,y,FAT,19001050_19003300,baby
*MAN,baby,r,y,FAT,18764560_18765720,baby
*MAN,baby,q,y,FAT,19482540_19483540,baby
*FAN,baby,q,y,FAT,19483540_19485930,baby
*FAN,baby,q,y,FAT,19488750_19489830,baby
*FAN,back,d,n,GRM,32279350_32281850,back
*OLN,bacon,d,n,MOT,28500210_28501020,bacon
*MAN,bag,d,n,FAT,474200_475210,bag
*FAN,ball,d,n,LFV,18805810_18808040,ball
*FAN,ball,r,y,LFV,18675000_18676620,ball
*FAN,ball,n,y,LFV,18679140_18680960,ball
*FAN,ball,d,y,LFV,18684630_18686920,ball
*CXN,ball,r,y,LFV,18689750_18690350,ball
*CHN,ball,r,y,LFV,18691250_18692520,ball
*FAN,ball,n,y,LFV,18695350_18695950,ball
*CHN,ball,n,y,LFV,18696750_18697620,ball
*OLN,ball,r,y,LFV,18701440_18702250,ball
*TVF,ball,r,y,LFV,18713900_18715670,ball
*TVF,ball,r,y,LFV,18713900_18715670,ball
*CHN,ball,r,y,LFV,18715670_18716290,ball
*CXN,ball,r,y,LFV,18716370_18717170,ball
*FAN,ball,d,y,LFV,18724740_18728810,ball
*MAN,ball,d,y,FAT,18734630_18736520,ball
*MAN,ball,d,y,FAT,18761010_18763550,ball
*MAN,ball,r,y,FAT,18764560_18765720,ball
*OLF,ball,d,y,FAT,18767600_18768640,ball
*OLN,ball,d,y,FAT,18771680_18772500,ball
*FAN,ball,d,y,LFV,18777930_18779960,ball
*FAN,ball,d,y,LFV,18834910_18837410,ball
*FAN,ball,q,y,FAT,18834910_18837410,ball
*MAN,ball,d,y,FAT,18848020_18849610,ball
*OLN,ball,d,y,FAT,18852790_18853640,ball
*OLN,Ball,d,y,LFV,18668160_18668960,Ball
*MAN,Ball,d,y,FAT,18668960_18670040,Ball
*FAN,banana,q,y,FAT,1341230_1342320,banana
*FAN,banana,q,y,MOT,1520570_1524990,banana
*MAN,banana,n,y,FAT,16545470_16546620,banana
*FAN,bath,d,n,MOT,18098610_18099610,bath
*FAN,beans,d,n,MOT,29648580_29651090,beans
*MAN,beans,d,n,MOT,29651090_29653020,beans
*MAF,beans,d,n,GRM,29658820_29659620,beans
*MAN,Bear,r,y,FAT,19128840_19131450,Bear
*MAN,Bear,r,y,FAT,19138060_19140800,Bear
*MAN,Bear,r,y,FAT,19151310_19152870,Bear
*MAN,Bear,r,y,FAT,19159910_19162240,Bear
*MAN,Bear,r,y,FAT,19166380_19169290,Bear
*CHN,Bear,r,y,FAT,19204330_19205330,Bear
*MAN,Bear,r,y,FAT,19211630_19213180,Bear
*MAN,Bear,r,y,FAT,19215400_19218360,Bear
*MAN,Bear,r,y,FAT,19226130_19230050,Bear
*MAN,bed,d,n,FAT,33424820_33425860,bed
*FAN,bed,d,y,FAT,18684630_18686920,bed
*FAN,bed,d,y,LFV,18684630_18686920,bed
*FAN,bell,n,y,LFV,17029320_17030380,bell
*FAN,bell,n,y,LFV,17030380_17031930,bell
*FAN,bicycle,s,n,GRM,33837130_33839530,bicycle
*FAN,bicycle,s,n,GRM,34098960_34100010,bicycle
*MAN,black+bean+ragout,d,n,MFT,1743530_1744530,ragout
*FAN,black+bean+ragout,n,n,MOT,28895020_28896280,ragout
*MAN,black+bean+ragout,n,n,MOT,28909180_28910180,ragout
*FAN,black+beans,d,n,MOT,1774910_1776590,beans
*MAN,blackberries,r,y,FAT,19230650_19232060,blackberries
*FAN,blackbird,s,n,MOT,34668190_34669280,blackbird
*MAN,block,q,y,GRP,31322650_31323800,block
*FAN,blocks,n,y,FAT,16537290_16539340,block
*CHN,blocks,q,y,FAT,16539340_16539760,block
*MAN,bluebirds,s,n,GIU,19296570_19298920,bluebird
*OLN,booger,d,n,FAT,16330400_16331710,NA
*FAN,booger,d,y,MOT,18599040_18600130,NA
*FAN,book,d,n,MOT,18133770_18135610,book
*MAN,book,q,n,FAT,18655160_18656380,book
*FAN,book,q,n,GRM,18656380_18657820,book
*FAN,book,i,n,MOT,28915520_28916600,book
*FAN,book,d,n,MOT,29033730_29035950,book
*MAN,book,d,n,GRM,29454990_29458390,book
*MAN,book,q,n,GRP,31222810_31224460,book
*MAN,book,q,n,GRP,31225190_31226200,book
*MAN,book,d,y,LFV,18796180_18797180,book
*OLN,book,d,y,LFV,18820590_18822470,book
*FAN,book,d,y,LFV,18822470_18823220,book
*OLN,book,q,y,FAT,18856820_18857650,book
*FAN,book,n,y,LFV,19114120_19115770,book
*MAN,book,d,y,FAT,19242230_19247650,book
*FAN,book,d,y,GRM,29440370_29442050,book
*NOF,book,q,y,GRM,29442050_29443100,book
*OLN,book,q,y,GRM,29443100_29446160,book
*FAN,book,q,y,GRM,29449030_29450810,book
*FAN,book,q,y,GRM,29462890_29464490,book
*MAN,book,q,y,GRM,29466600_29467600,book
*OLN,book,q,y,GRM,29490730_29492290,book
*FAN,book,q,y,GRM,29494710_29497840,book
*NOF,book,d,y,GRM,29497840_29500030,book
*FAN,book,d,y,GRM,29515080_29517090,book
*FAN,book,d,y,GRM,29515080_29517090,book
*MAN,book,d,y,GRM,29520650_29521650,book
*MAN,book,d,y,GRP,31227680_31228690,book
*FAN,books,d,n,MOT,29197970_29200690,book
*OLN,books,d,n,MOT,29980400_29985960,book
*MAN,books,i,y,FAT,18664740_18665740,book
*FAN,books,i,y,LFV,18665740_18668160,book
*FAN,bookshelf,n,n,GRM,29637470_29638520,bookshelf
*FAN,booties,q,n,MOT,473150_474200,bootie
*MAN,boots,d,n,MOT,471120_472150,boot
*OLN,boots,d,n,LFV,3000090_3003570,boot
*MAN,boots,d,n,LFV,3003570_3004660,boot
*OLN,boots,d,y,MOT,588330_590020,boot
*MAN,bottle,d,n,MOT,34583170_34584360,bottle
*MAN,box,d,n,FAT,19462640_19464920,box
*FAN,box,q,n,MOT,30008230_30009760,box
*FAN,bread,i,n,GRM,31769790_31770910,bread
*FAN,bulb,q,n,GRM,1424450_1426170,bulb
*FAN,bum,d,n,GRM,31940400_31942420,NA
*MAN,bunny,r,y,FAT,19211630_19213180,bunny
*MAN,bunny,r,y,FAT,19215400_19218360,bunny
*MAN,bunny,r,y,FAT,19226130_19230050,bunny
*MAN,bunny,r,y,FAT,19147410_19148410,bunny
*MAN,bunny,r,y,FAT,19201990_19203470,bunny
*MAN,bunny,r,y,FAT,19221940_19223130,bunny
*OLN,butt,d,n,MOT,30245000_30247590,NA
*FAN,butt+paste,q,y,MOT,90860_91860,NA
*OLN,calendar,q,n,LMV,4478220_4479420,NA
*OLN,car,d,n,MOT,4608340_4609160,car
*FAN,car,q,n,LFV,18324040_18325040,car
*MAN,car,d,n,MOT,18343330_18344410,car
*MAN,car,q,n,FAT,34372310_34374380,car
*FAF,carriage,s,n,GRM,33829550_33831630,carriage
*FAN,car+seat,d,n,MOT,17819840_17820880,car+seat
*FAN,car+seat,d,n,MOT,17866800_17867860,car+seat
*FAN,cat,d,n,MOT,1626910_1627910,cat
*OLN,cat,d,y,FAT,18765720_18766560,cat
*CHN,cat,n,y,GRP,32718800_32719690,cat
*MAN,cat,d,y,GRP,32720800_32721800,cat
*MAN,cats,d,n,FAT,18851360_18852790,cat
*FAN,cell+phone,q,n,GRM,33226610_33227800,phone
*MAN,chair,d,n,LFV,3573230_3574230,chair
*OLN,chair,d,y,MOT,3411680_3423980,chair
*MAN,chair,d,y,GRP,31139550_31142470,chair
*OLN,cheeks,i,n,LFV,3369440_3401740,cheek
*OLN,cheeks,i,n,LFV,3524310_3525820,cheek
*MAN,chicken,q,n,GRP,32978200_32982670,chicken
*FAN,chilis,d,y,MOT,30604470_30606310,chili
*MAN,chimney+tops,s,n,FAT,19280860_19282530,chimney
*MAN,chimney+tops,s,n,GIU,19329020_19334230,chimney
*MAN,clock,d,y,FAT,18731490_18732490,clock
*OLN,clock,n,y,GRM,29414610_29415410,clock
*FAN,closet,d,y,MOT,28603350_28605210,closet
*FAN,clothes,d,n,LFV,17762650_17769880,clothes
*MAN,clothes,d,n,MOT,17779440_17782830,clothes
*OLN,clouds,s,y,FAT,18935170_18937200,cloud
*MAN,coffee,d,n,FAT,33675830_33679690,coffee
*OLN,coffee,q,n,LFV,3369440_3401740,coffee
*OLN,coffee,d,n,FAT,3369440_3401740,coffee
*OLN,coffee,d,n,FAT,3736030_3741820,coffee
*OLN,coffee,n,n,LFV,4431300_4436960,coffee
*OLN,coffee,d,n,FAT,4437980_4450250,coffee
*OLN,coffee,n,n,LFV,4437980_4450250,coffee
*MAN,computer,d,n,GRP,32630660_32633720,computer
*FAN,computer,d,y,GRM,29458390_29459480,computer
*MAN,cookbook,d,n,MOT,1740890_1742240,cookbook
*FAN,cookie,q,n,GRM,33846670_33848380,cookie
*FAN,cookie,q,n,GRM,33846670_33848380,cookie
*FAN,cookie,q,n,GRM,33850220_33851220,cookie
*MAN,cover,d,y,FAT,18706030_18708790,NA
*FAN,cover,d,y,LFV,18782670_18783860,NA
*NOF,cover,n,y,FAT,18783860_18785120,NA
*OLN,cover,n,y,LFV,18785120_18785920,NA
*MAN,cover,d,y,FAT,19233380_19234880,NA
*FAN,cups,d,n,MOT,28962110_28964310,cup
*MAN,deer,q,n,GRM,33855210_33856210,deer
*OLN,deer,q,n,GRM,33899320_33902460,deer
*FAN,deer,q,n,GRM,33904580_33905910,deer
*FAN,diaper,d,y,MOT,98120_99120,diaper
*FAN,diaper,d,y,MOT,100710_101710,diaper
*MAN,dishwasher,d,n,LFV,17993190_17994600,dishwasher
*MAN,dishwasher,d,n,MOT,18000260_18001710,dishwasher
*MAN,dishwasher,d,n,MOT,18020210_18022600,dishwasher
*MAN,dishwasher,d,n,LFV,18020210_18022600,dishwasher
*FAN,dog,d,n,MOT,18351670_18352760,dog
*FAN,dog,d,y,FAT,18684630_18686920,dog
*MAN,dog,d,y,FAT,18734630_18736520,dog
*MAN,dog,d,y,FAT,18734630_18736520,dog
*FAN,doggy,d,y,LFV,18684630_18686920,dog
*MAN,driveway,d,n,GRP,28579680_28580810,driveway
*FAN,earrings,q,n,GRM,34210300_34210930,earring
*MAN,eye,q,y,GRP,33319760_33321430,eye
*FAN,eyes,s,n,MOT,34695000_34697520,eye
*CHN,eyes,q,y,FAT,33270670_33271100,eye
*MAN,face,d,n,FAT,16303630_16306130,face
*OLN,face,d,n,LFV,17037240_17038870,face
*FAN,face,d,n,LFV,17038870_17040390,face
*FAN,face,d,n,MOT,18049290_18050420,face
*FAN,face,i,n,FAT,18825420_18826420,face
*FAN,feet,d,n,MOT,17915380_17917890,foot
*FAN,feet,i,n,MOT,17911370_17913780,foot
*FAN,feet,d,n,MOT,17924670_17925930,foot
