labeled_object.ordinal,onset,offset,object,utterance_type,object_present,speaker,basic_level
5,69241,71248,%com: Grandpa calls the bear in the book a cat while child looks at the bear,NA,NA,NA,NA
15,249522,251434,%com: personal information father's full name,NA,NA,NA,NA
26,451627,453535,%com: rattle is actually bottle of pills,NA,NA,NA,NA
76,1585697,1585696,%com: refers to baby deer,NA,NA,NA,NA
40,973241,974589,%com: refers to toy,NA,NA,NA,NA
97,2025262,2027061,%come: personal information on procedure grandfather is having done,NA,NA,NA,NA
53,1299089,1302437,baby,d,y,FAT,baby
75,1584891,1585696,baby,i,n,GRP,baby
77,1588872,1590295,baby+deer,q,n,FAT,deer
82,1647860,1650266,baby+deer,d,y,FAT,deer
163,3497030,3498502,back,d,n,FAT,back
164,3499620,3500783,back,d,n,FAT,back
7,72824,77136,bear,q,y,GRP,bear
4,55970,58160,book,d,y,GRP,book
14,229821,231128,book,q,y,GRP,book
98,2071014,2071786,book,d,n,FAT,book
169,3580891,3582079,book,i,y,GRP,book
170,3582080,3584404,book,i,y,GRP,book
171,3587606,3590197,book,d,y,GRP,book
2,51430,52606,books,q,n,GRP,book 
3,52607,53880,books,i,y,GRP,book 
130,2578468,2580407,booties,d,y,FAT,bootie
131,2580408,2582868,booties,d,y,FAT,bootie
132,2590042,2594600,booties,n,y,FAT,bootie
133,2594601,2596256,booties,n,y,FAT,bootie
134,2596257,2598487,booties,n,y,FAT,bootie
70,1563532,1565969,bread,d,n,FAT,bread
60,1455367,1455820,brush,n,y,FAT,brush
61,1455821,1456800,brush,n,y,FAT,brush
62,1456801,1458146,brush,n,y,FAT,brush
64,1476721,1478123,brush,n,y,FAT,brush
65,1478124,1480386,brush,n,y,FAT,brush
66,1480387,1482536,brush,n,y,FAT,brush
74,1583592,1584875,brush,d,y,GRM,brush
86,1706921,1707720,brush,d,y,FAT,brush
122,2462596,2466154,brush,d,y,FAT,brush
123,2506296,2507929,brush,d,y,GRM,brush
125,2507929,2509697,brush,d,y,GRM,brush
126,2519646,2521499,brush,d,y,GRP,brush
42,1057321,1060190,burner,d,n,FAT,burner
44,1062486,1065057,burner,d,n,FAT,burner
31,706194,708492,button,q,y,FAT,button
32,708493,710735,button,q,y,FAT,button
140,2901034,2904687,buttons,q,y,FAT,button
0,31753,34090,camera,d,n,FAT,camera
1,40032,41468,camera,d,n,FAT,camera
10,147949,148950,camera,d,y,GRP,camera
11,195155,198105,camera,d,n,GRP,camera
47,1143669,1145046,camera,d,y,FAT,camera
117,2228805,2231267,camera,i,n,FAT,camera
120,2404968,2405936,camera,d,y,FAT,camera
129,2573095,2574808,camera,q,n,FAT,camera
156,3242839,3245855,camera,d,n,FAT,camera
167,3560045,3561131,camera,d,y,GRP,camera
174,3620356,3621948,camera,d,y,GRP,camera
33,739004,741082,cameras,d,n,FAT,camera
180,3681352,3682608,cameras,s,n,GRP,camera
143,2960969,2962311,cat,q,y,FAT,cat
144,2963508,2964299,cat,d,y,FAT,cat
152,3037254,3039982,cat,d,y,GRM,cat
153,3048464,3051294,cat,n,y,GRM,cat
154,3052628,3054490,cat,d,n,GRM,cat
37,919003,920782,cat+hair,d,y,FAT,hair
137,2734731,2737208,collar,d,n,FAT,collar
138,2738975,2740257,collar,d,n,FAT,collar
59,1452060,1455366,comb,n,y,FAT,comb
67,1501901,1503125,deer,d,n,FAT,deer
69,1539920,1544265,deer,q,n,FAT,deer
71,1565970,1568393,deer,q,n,FAT,deer
72,1568394,1570817,deer,q,n,FAT,deer
79,1612579,1614698,deer,q,y,FAT,deer
80,1614699,1617904,deer,q,y,FAT,deer
81,1643600,1647859,deer,q,y,FAT,deer
83,1650267,1654385,deer,d,y,FAT,deer
