labeled_object_GC.ordinal,labeled_object_GC.onset,labeled_object_GC.offset,labeled_object_GC.object,labeled_object_GC.utterance_type,labeled_object_GC.object_present,labeled_object_GC.speaker,basic_level
325,3513181,3513181,%com: begin personal information,NA,NA,NA,NA
155,2204431,2204431,%com: begin personal information doctor name revealed,NA,NA,NA,NA
160,2278682,2278682,%com: end personal information,NA,NA,NA,NA
327,3525810,3525810,%com: end personal information,NA,NA,NA,NA
328,3545844,3545844,"%com: personal information, doctors name",NA,NA,NA,NA
189,2713318,2716914,A,r,y,MOT,A
35,571055,572730,apple+sauce,d,n,FAT,apple+sauce
55,970788,977919,apple+sauce,d,n,FAT,apple+sauce
99,1542211,1544663,apple+sauce,d,n,MOT,apple+sauce
108,1792994,1794605,apple+sauce,q,y,MOT,apple+sauce
109,1795794,1797467,apple+sauce,q,y,MOT,apple+sauce
112,1802240,1803886,apple+sauce,d,y,MOT,apple+sauce
113,1809974,1812269,apple+sauce,q,y,MOT,apple+sauce
114,1820126,1821334,apple+sauce,n,y,MOT,apple+sauce
123,1867113,1869655,apple+sauce,d,y,MOT,apple+sauce
136,2041101,2042497,apple+sauce,q,y,MOT,apple+sauce
137,2043657,2045827,apple+sauce,q,y,FAT,apple+sauce
141,2063000,2065744,apple+sauce,q,n,FAT,apple+sauce
182,2613780,2615238,apple+sauce,q,n,MOT,apple+sauce
321,3486803,3489297,apple+sauce,d,n,FAT,apple+sauce
163,2349899,2351728,apples,d,n,FAT,apple
190,2713318,2716958,apples,r,y,MOT,apple
173,2465744,2471092,artifact,d,n,FAT,NA
192,2718553,2720678,B,r,y,MOT,B
85,1354476,1355541,baggies,d,n,FAT,baggy
87,1367262,1368537,baggies,d,n,FAT,baggy
84,1351130,1354476,baggy,d,n,FAT,baggy
193,2718553,2720678,barn,r,y,MOT,barn
245,2829109,2832887,bed,r,y,MOT,bed
315,3374630,3385107,belly,q,n,MOT,belly
316,3385107,3387546,belly,q,n,MOT,belly
322,3489297,3493674,belly,d,n,MOT,belly
178,2588363,2589449,bib,d,n,FAT,bib
185,2654291,2658415,bib,q,n,FAT,bib
232,2801148,2804471,birdies,d,y,MOT,birdy
233,2804831,2805885,birdies,d,y,MOT,birdy
179,2599747,2612736,booger,d,y,FAT,booger
181,2613780,2615238,booger,q,n,MOT,booger
183,2615238,2616619,booger,d,y,FAT,booger
184,2632187,2633767,book,q,n,MOT,book
186,2676333,2678999,book,q,y,MOT,book
269,2925270,2928153,book,q,y,MOT,book
270,2928770,2930810,book,q,y,MOT,book
285,2999605,3003605,book,q,n,MOT,book
286,3003605,3005017,book,d,n,MOT,book
288,3015807,3017680,book,d,n,MOT,book
289,3017680,3019508,book,d,n,MOT,book
290,3021301,3025447,book,d,n,MOT,book
291,3025447,3027645,book,d,n,MOT,book
293,3030709,3031919,book,d,n,MOT,book
37,630974,633423,bottle,d,y,MOT,bottle
57,1000204,1004545,bottle,d,y,MOT,bottle
58,1005354,1006843,bottle,d,y,MOT,bottle
61,1037854,1039745,bottle,d,y,FAT,bottle
62,1039745,1041044,bottle,d,y,MOT,bottle
307,3137849,3143306,bottle,q,n,MOT,bottle
308,3156776,3159069,bottle,q,n,MOT,bottle
310,3280634,3286244,bottle,d,n,MOT,bottle
314,3310521,3313528,bottle,q,n,MOT,bottle
32,517235,519157,bottles,d,y,MOT,bottle
59,1010008,1012344,bottles,d,y,FAT,bottle
63,1041044,1042680,bottles,d,y,MOT,bottle
302,3090199,3096039,bottles,d,n,MOT,bottle
275,2938922,2940099,bunny,q,y,MOT,bunny
276,2940099,2941613,bunny,d,y,MOT,bunny
279,2946974,2951128,bunny,r,y,MOT,bunny
282,2960072,2962892,bunny,r,y,MOT,bunny
280,2954013,2955872,bunny+ear,d,y,MOT,ear
281,2956891,2958410,bunny+ear,d,y,MOT,ear
194,2721933,2723205,C,r,y,MOT,C
36,592286,597433,camera,q,y,MOT,camera
52,912112,919520,camera,d,y,FAT,camera
72,1145978,1148582,camera,q,n,FAT,camera
105,1558442,1559713,camera,d,y,FAT,camera
305,3112236,3122342,camera,d,n,MOT,camera
306,3122342,3125246,camera,d,n,MOT,camera
158,2266342,2268698,cans,d,y,MOT,can
159,2268698,2271872,cans,d,y,MOT,can
130,1990804,1994462,card,d,n,MOT,card
10,136949,140762,carrot,d,y,MOT,carrot
6,111354,114579,carrots,q,y,MOT,carrot
7,114902,116636,carrots,q,y,MOT,carrot
8,121487,123448,carrots,d,y,FAT,carrot
14,204120,210723,carrots,q,y,MOT,carrot
15,210723,213959,carrots,q,y,MOT,carrot
16,214260,216709,carrots,n,y,MOT,carrot
17,217381,218652,carrots,n,y,MOT,carrot
18,224719,226207,carrots,d,y,MOT,carrot
19,227648,229415,carrots,q,y,MOT,carrot
21,307988,310004,carrots,q,n,MOT,carrot
42,760248,767038,carrots,q,n,FAT,carrot
110,1797467,1799427,carrots,d,n,MOT,carrot
111,1799947,1802240,carrots,d,n,MOT,carrot
319,3478907,3482285,carrots,d,n,MOT,carrot
320,3484696,3486803,carrots,d,n,MOT,carrot
195,2722326,2723205,cat,r,y,MOT,cat
196,2723825,2726677,cat,i,y,MOT,cat
122,1860504,1863573,caterpillar,q,y,MOT,caterpillar
124,1882892,1885092,caterpillar,q,y,MOT,caterpillar
70,1139075,1140750,chair,d,n,FAT,chair
71,1141368,1142639,chair,d,n,MOT,chair
156,2242823,2248713,chest,d,n,MOT,chest
157,2248713,2251410,chest,d,n,MOT,chest
164,2351728,2354188,chin+strap,d,n,FAT,chin+strap
210,2753148,2755716,corn,r,y,MOT,corn
226,2792000,2795623,cows,r,y,MOT,cow
251,2838028,2837959,crows,r,y,MOT,crow
106,1654276,1661159,cup,q,y,FAT,cup
125,1926471,1929075,cup,d,y,MOT,cup
126,1943351,1944840,cup,q,y,MOT,cup
131,2010000,2012927,cup,q,y,MOT,cup
132,2014000,2015608,cup,d,y,MOT,cup
161,2300727,2304044,cups,d,n,FAT,cup
197,2726677,2730100,D,r,y,MOT,D
24,335218,337760,dishes,q,n,MOT,dish
26,425461,430018,dishes,d,n,MOT,dish
27,430935,432205,dishes,d,n,MOT,dish
198,2726677,2730100,dogs,r,y,MOT,dog
68,1127145,1129550,drain,d,y,FAT,drain
86,1360655,1366080,drawer,d,n,FAT,drawer
88,1369756,1372641,drawer,d,n,FAT,drawer
283,2982880,2985826,Duckling,r,y,MOT,Duckling
200,2737000,2740268,E,r,y,MOT,E
206,2747230,2749648,E,r,y,MOT,E
277,2941613,2943814,ears,d,y,MOT,ear
278,2943814,2945803,ears,d,y,MOT,ear
202,2737081,2740268,eggs,r,y,MOT,egg
207,2747230,2749648,eggs,r,y,MOT,egg
66,1108416,1112873,exhaust+fan,d,n,FAT,fan
300,3052778,3054763,eyeballs,n,y,MOT,eyeball
203,2740268,2743994,F,r,y,MOT,F
205,2741644,2743994,F,r,y,MOT,F
2,74446,77082,face,d,n,MOT,face
9,126375,127802,face,d,y,MOT,face
94,1507603,1513120,face,i,y,FAT,face
115,1821901,1825217,face,d,n,FAT,face
133,2017948,2020366,face,d,n,MOT,face
301,3062109,3064100,face,d,y,MOT,face
331,3576170,3579170,face,d,n,MOT,face
204,2740775,2743994,farmer,r,y,MOT,farmer
187,2701556,2703107,Farmyard+Alphabet,q,y,MOT,Farmyard+Alphabet
188,2703907,2705085,Farmyard+Alphabet,n,y,MOT,Farmyard+Alphabet
56,989603,991742,feet,i,y,FAT,foot
107,1681406,1685652,five,d,y,FAT,five
50,867282,870661,floor,d,n,FAT,NA
51,877265,878227,floor,q,n,FAT,NA
83,1308487,1310936,floor,d,n,FAT,NA
28,446594,448857,flower,q,y,MOT,flower
38,672574,674807,flower,q,y,MOT,flower
39,675708,677103,flower,q,y,MOT,flower
40,720012,722243,flower,q,y,MOT,flower
116,1832672,1836516,foot,d,y,MOT,foot
119,1837119,1839754,foot,d,y,MOT,foot
46,791384,795395,forks,n,y,FAT,fork
100,1542211,1544663,forks,d,n,MOT,fork
101,1544663,1546957,forks,q,n,FAT,fork
102,1544889,1546957,forks,n,n,MOT,fork
303,3096039,3097639,fridge,d,n,MOT,fridge
60,1029765,1037483,fridge+handle,q,y,FAT,fridge+handle
299,3048198,3050608,frog,q,y,MOT,froggy
294,3033571,3035152,froggy,q,y,MOT,froggy
295,3037533,3039207,froggy,q,y,MOT,froggy
298,3045223,3048198,froggy,q,y,MOT,froggy
209,2750978,2753148,G,r,y,MOT,G
208,2750978,2753148,geese,r,y,MOT,goose
95,1514476,1516034,glasses,i,y,FAT,glasses
96,1517742,1519447,glasses,i,y,FAT,glasses
97,1524674,1527278,glasses,d,y,FAT,glasses
142,2072121,2075098,grass,d,n,FAT,grass
212,2755716,2759171,H,r,y,MOT,H
20,292267,294263,hand,d,n,MOT,hand
127,1953838,1956721,hand,d,y,MOT,hand
128,1956721,1958442,hand,d,y,MOT,hand
171,2445717,2451191,hand,d,y,FAT,hand
172,2445717,2451191,hand,d,y,FAT,hand
318,3459707,3468547,hand,d,y,MOT,hand
129,1969002,1972009,hands,q,y,MOT,hand
304,3099396,3102931,hands,d,n,MOT,hand
0,13459,16837,hat,q,y,FAT,hat
53,946489,950767,hat,d,y,MOT,hat
54,951517,953222,hat,d,y,MOT,hat
90,1389703,1399562,heart,d,y,FAT,heart
201,2737081,2740268,hens,r,y,MOT,hen
211,2755716,2759171,horses,r,y,MOT,horse
213,2760141,2768829,I,r,y,MOT,I
214,2760141,2768829,icicles,r,y,MOT,icicle
215,2769286,2772542,J,r,y,MOT,J
217,2769820,2772542,jams,r,y,MOT,jam
218,2769820,2772542,jars,r,y,MOT,jar
216,2769820,2772542,jellies,r,y,MOT,jelly
220,2780813,2784804,K,r,y,MOT,K
249,2832887,2836167,king,r,n,MOT,king
221,2780814,2784804,kittens,r,y,MOT,kitty
317,3456576,3459707,kitty,d,n,MOT,kitty
330,3575017,3579170,kitty,d,n,MOT,kitty
222,2785688,2789566,L,r,y,MOT,L
1,70667,73272,ladybug,q,y,MOT,ladybug
22,315675,318450,ladybug,q,y,MOT,ladybug
23,319155,320891,ladybug,n,y,MOT,ladybug
44,783589,785108,ladybug,q,y,MOT,ladybug
45,785672,787800,ladybug,n,y,MOT,ladybug
77,1205188,1207669,ladybug,q,n,FAT,ladybug
223,2785700,2789566,lambs,r,y,MOT,lamb
151,2155682,2157634,leg,d,y,MOT,leg
152,2157634,2159196,leg,d,y,MOT,leg
153,2161453,2162632,leg,d,y,MOT,leg
73,1151872,1153328,lion,i,y,FAT,lion
75,1181524,1186143,lion,q,y,FAT,lion
76,1205188,1207669,lion,q,y,FAT,lion
78,1211071,1215753,lion,d,y,FAT,lion
148,2139934,2142379,liquid,d,n,MOT,NA
271,2928770,2930810,Little+Bunny,q,y,MOT,bunny
272,2930810,2932896,Little+Bunny,d,y,MOT,bunny
273,2934308,2937111,Little+Bunny,d,y,MOT,bunny
274,2937111,2938220,Little+Bunny,d,y,MOT,bunny
225,2791991,2795623,M,r,y,MOT,M
149,2145047,2148069,medicine,q,n,MOT,medicine
224,2791991,2795623,milk,r,y,MOT,milk
227,2797732,2799715,milk,d,n,MOT,milk
323,3493674,3496662,milk,d,y,MOT,milk
324,3498699,3500621,milk,d,y,MOT,milk
284,2994373,2996327,Mousey,r,y,MOT,Mousey
12,150823,153116,mouth,d,y,MOT,mouth
89,1378546,1380559,Mr+Caterpillar,n,y,FAT,caterpillar
92,1432093,1434789,Mr+Caterpillar,q,y,FAT,caterpillar
74,1156782,1158681,Mr+Lion,n,y,FAT,lion
91,1419946,1422302,Mr+Lion,d,y,FAT,lion
228,2798715,2802739,N,r,y,MOT,N
230,2798715,2802739,nest,r,y,MOT,nest
231,2801148,2804471,nest,d,y,MOT,nest
64,1053159,1055783,nipple,d,n,FAT,nipple
65,1055783,1057933,nipple,d,n,MOT,nipple
180,2610717,2614096,nose,d,y,FAT,nose
296,3039207,3043362,nose,d,y,MOT,nose
297,3043362,3045223,nose,d,y,MOT,nose
166,2371955,2376141,nostrils,d,n,FAT,nostril
234,2808448,2809316,O,d,y,MOT,O
236,2810318,2813769,O,d,y,MOT,O
235,2810318,2813769,oxen,r,y,MOT,ox
237,2810318,2813769,oxygen,r,n,MOT,oxygen
238,2813769,2815338,oxygen,d,n,MOT,oxygen
241,2816274,2819815,P,r,y,MOT,P
177,2551388,2554921,pacifier,d,n,FAT,pacifier
199,2732338,2734647,page,q,y,MOT,page
219,2772123,2773735,page,q,y,MOT,page
267,2901037,2903454,page,q,y,MOT,page
266,2895156,2896335,pages,q,y,MOT,page
25,365713,370766,pen,d,n,FAT,pen
309,3260989,3266258,picture,d,n,MOT,NA
242,2819815,2821752,piggies,d,y,MOT,piggy
243,2823667,2824814,piggy,d,y,MOT,piggy
239,2816274,2819815,pigs,r,y,MOT,pig
240,2816274,2819815,pigs,r,y,MOT,pig
162,2309932,2313404,plate,i,y,FAT,plate
255,2850170,2856059,pumpkins,r,y,MOT,pumpkin
292,3027645,3029361,puppet,d,n,MOT,puppet
246,2829109,2832887,Q,r,y,MOT,quilt
244,2829109,2832887,quilt,d,y,MOT,quilt
248,2832887,2836167,R,r,y,MOT,R
43,777858,780997,ring,q,y,MOT,ring
47,814909,817885,ring,q,y,MOT,ring
48,859016,862829,ring,q,y,MOT,ring
138,2048979,2051180,ring,q,y,FAT,ring
3,78697,82532,rings,d,n,MOT,ring
4,106485,107818,rings,q,y,MOT,ring
5,108671,110850,rings,d,y,MOT,ring
11,139612,140762,rings,d,y,MOT,ring
13,189311,190861,rings,q,y,MOT,ring
41,727559,730721,rings,d,y,MOT,ring
134,2034202,2036121,rings,i,y,FAT,ring
135,2038435,2040370,rings,d,y,FAT,ring
139,2053718,2055516,rings,d,y,MOT,ring
140,2060963,2062543,rings,d,y,MOT,ring
247,2832887,2836167,rooster,r,y,MOT,rooster
252,2838028,2841276,S,r,y,MOT,S
120,1844575,1848388,sandwich,q,n,FAT,sandwich
121,1849262,1854824,sandwich,q,n,FAT,sandwich
144,2115007,2117860,sandwich,d,n,MOT,sandwich
165,2362900,2364792,sandwiches,d,n,FAT,sandwich
250,2838028,2837959,scarecrows,r,y,MOT,scarecrow
33,525098,528601,school,d,n,MOT,NA
145,2125922,2132493,shots,q,n,MOT,shot
146,2133797,2135099,shots,q,n,FAT,shot
147,2135157,2139934,shots,d,n,MOT,shot
150,2152606,2154993,shots,d,n,MOT,shot
154,2171040,2174915,shots,d,n,MOT,shot
332,3631726,3635881,skin,d,n,MOT,skin
333,3639275,3640608,skin,d,n,MOT,skin
117,1832672,1836516,sloppy+joe,d,y,MOT,sloppy+joe
118,1837119,1839754,sloppy+joe,d,y,MOT,sloppy+joe
143,2079455,2083950,sloppy+joes,q,y,MOT,sloppy+joe
287,3014288,3015807,snail,r,n,MOT,snail
