tier,word,utterance_type,object_present,speaker,timestamp,basic_level
*FAN,antlers,r,y,MOT,22278510_22280700,antler
*MAF,arm,d,y,FAT,1035020_1036190,arm
*FAN,arm,d,y,MOT,10900160_10901240,arm
*FAN,arm,d,y,MOT,10903060_10904060,arm
*FAN,arm,d,y,MOT,10904980_10906070,arm
*FAN,arm,q,y,MOT,10907970_10908970,arm
*FAN,arm,d,y,MOT,22016980_22019020,arm
*FAN,arm,d,y,MOT,22020910_22022040,arm
*FAN,arm,s,y,FAT,41267470_41269350,arm
*FAN,arm,s,y,FAT,41271320_41272210,arm
*MAN,arms,n,y,FAT,42458810_42459860,arm
*MAN,arms,d,y,FAT,742050_743490,arm
*MAN,arms,i,y,FAT,1766590_1767610,arm
*OLN,arms,n,y,FAT,1770460_1772900,arm
*MAF,arms,d,y,FAT,43459980_43460980,arm
*TVF,arms,n,y,FAT,43460980_43493450,arm
*FAN,armpit,n,y,FAT,42455160_42455970,armpit
*FAN,babies,d,n,MOT,19029370_19031810,baby
*MAN,baby,d,y,FAT,21741670_21744090,baby
*FAN,baby,d,y,MOT,21889940_21891090,baby
*CHN,back,r,y,MOT,12140260_12140940,back
*OLF,back,d,y,FAT,42452050_42452850,back
*FAN,bagel,d,y,MOT,8870520_8871560,bagel
*TVN,bagel,q,y,MOT,8962910_8964130,bagel
*MAN,ball,d,y,FAT,19258400_19260050,ball
*MAN,ball,d,y,FAT,19261430_19263110,ball
*MAN,ball,d,y,FAT,19535340_19536780,ball
*MAN,balls,d,n,FAT,40470100_40471650,ball
*FAN,banana,q,y,TOY,10260100_10261340,banana
*FAN,banana,q,y,MOT,10262310_10263310,banana
*MAN,banana,q,y,FAT,10275250_10276570,banana
*MAN,banana,q,y,FAT,10277660_10278660,banana
*FAN,banana,q,y,MOT,10289690_10290750,banana
*FAN,banana,d,y,MOT,10297360_10298700,banana
*MAN,banana,q,y,FAT,10387720_10389400,banana
*FAN,banana,q,n,MOT,11349950_11351100,banana
*MAN,banana,d,y,FAT,11353970_11356160,banana
*FAN,banana,d,n,MOT,18733820_18736950,banana
*FAN,bath,d,n,MOT,10603720_10605160,bath
*FAN,bath,d,n,MOT,10606810_10607820,bath
*MAN,bath,d,n,MOT,18066550_18067840,bath
*MAN,bath,d,n,FAT,18072940_18073940,bath
*OLN,bath,d,n,FAT,20060790_20062040,bath
*MAN,bath,d,n,FAT,20064460_20066870,bath
*MAN,bath,q,n,FAT,40947290_40948570,bath
*FAN,bath,q,n,MOT,40948570_40950140,bath
*FAN,bath,q,n,MOT,40990050_40991950,bath
*MAN,bath,d,n,FAT,41001940_41003590,bath
*MAN,bath,d,n,FAT,41004430_41007080,bath
*FAN,bath,q,n,MOT,41171150_41172790,bath
*MAN,bath,d,n,FAT,41219330_41220750,bath
*OLN,bath,d,n,FAT,42423830_42424630,bath
*MAN,bath,q,y,FAT,42883270_42885460,bath
*FAN,beach,r,y,MOT,22163950_22164960,beach
*OLN,beach,d,y,MOT,22164960_22165760,beach
*FAN,beach,d,y,MOT,22168470_22169650,beach
*OLN,beach,d,y,MOT,22174120_22174950,beach
*FAN,beak,r,y,MOT,12138550_12139660,beak
*FAN,bear,r,y,MOT,12108480_12109630,bear
*FAN,bears,r,y,MOT,22221010_22224700,bear
*OLN,bears,d,y,MOT,12374320_12377950,bear
*MAN,bed,q,y,FAT,43385050_43386650,bed
*MAN,bed,s,y,FAT,7372400_7375020,bed
*MAN,bed,d,y,FAT,7394640_7396330,bed
*FAN,bed,r,y,MOT,12180650_12181930,bed
*MAN,bed,d,n,FAT,18952900_18955090,bed
*FAN,bee,d,y,MOT,19713990_19715550,bee
*FAN,belly,q,y,MOT,10658740_10660020,belly
*FAN,belly,d,y,MOT,10662990_10663990,belly
*FAN,belly,q,y,MOT,10741080_10743470,belly
*NOF,belly,d,n,MOT,12413710_12414510,belly
*FAN,belly,q,y,MOT,17929680_17931220,belly
*MAN,belly,q,y,MOT,17933460_17934460,belly
*FAN,belly,i,y,MOT,22187350_22189410,belly
*FAN,belly,d,n,MOT,25618790_25620370,belly
*FAN,belly,d,n,MOT,25621970_25623620,belly
*MAN,belly,d,y,MOT,27495760_27499870,belly
*CXN,belly,i,y,MOT,41804770_41805620,belly
*FAN,bellybutton,i,y,MOT,41807700_41808700,bellybutton
*TVN,bellybutton,d,y,MOT,41812630_41813430,bellybutton
*FAN,berries,r,y,MOT,22196090_22200050,berry
*FAN,bib,q,y,MOT,11051010_11052350,bib
*MAN,bib,d,n,FAT,19569360_19573420,bib
*MAN,bib,d,y,FAT,37502180_37504750,bib
*MAF,bin,d,y,FAT,2157780_2158830,bin
*SIL,bin,d,y,FAT,2161760_2162670,bin
*OLF,bin,d,y,FAT,2165880_2166680,bin
*FAN,bird,r,y,MOT,12214840_12216190,bird
*FAN,bird,r,y,MOT,22181600_22183160,bird
*MAN,birds,d,n,FAT,1630830_1635370,bird
*FAN,birds,n,y,MOT,12437260_12437860,bird
*CHN,birds,q,y,MOT,12442420_12443070,bird
*FAN,birds,d,y,MOT,12458420_12459420,bird
*CHN,birds,d,y,MOT,12463370_12464670,bird
*FAN,birds,r,y,MOT,22221010_22224700,bird
*CHN,black+bear,r,y,MOT,22202240_22203240,bear
*FAN,black+bear,n,y,MOT,22204070_22205080,bear
*CHN,black+bear,n,y,MOT,22205910_22206560,bear
*OLN,blanket,d,n,FAT,20781050_20781920,blanket
*FAN,blanket,d,n,MOT,20771460_20772930,blanket
*MAN,blanket,d,n,FAT,20786070_20789440,blanket
*FAN,blanket,d,y,MOT,27453300_27455030,blanket
*MAN,blanket,q,n,FAT,43097110_43099500,blanket
*TVF,block,q,y,MOT,19865760_19866820,block
*NOF,block,d,y,MOT,20105990_20107620,block
*FAN,blueberries,r,y,MOT,22230790_22232220,blueberry
*OLN,blueberries,d,y,MOT,22234090_22234910,blueberry
*OLN,book,r,y,MOT,12295610_12296450,book
*OLN,book,q,y,MOT,12304570_12307340,book
*OLN,book,q,y,MOT,12390040_12390910,book
*OLN,book,q,y,MOT,12406500_12407320,book
*OLN,book,q,y,MOT,12435540_12436340,book
*FAN,book,d,y,MOT,12486770_12487770,book
*NOF,book,d,y,MOT,12490730_12493600,book
*OLN,book,q,y,MOT,20295790_20297190,book
*FAN,book,q,y,MOT,22107060_22108060,book
*OLN,book,q,y,MOT,22116960_22118080,book
*MAN,book,r,y,MOT,22321150_22322210,book
*FAN,bottom,d,y,MOT,10570540_10572240,NA
*FAN,bottom,q,y,MOT,25592000_25593580,NA
*TVN,bouncer,d,n,GRM,18585130_18586490,bouncer
*MAN,bowl,d,n,FAT,20064460_20066870,bowl
*FAN,boy,r,y,MOT,12287250_12291590,boy
*OLN,brains,d,n,FAT,19230870_19231670,brain
*MAF,branches,d,n,FAT,18128710_18129840,branch
*FAN,bucks,d,n,MOT,18862440_18868690,buck
*FAN,buds,r,y,MOT,22196090_22200050,bud
*FAN,bugs,r,y,MOT,22196090_22200050,bug
*FAN,bumblebee,q,y,MOT,9664000_9665060,bumblebee
*FAN,bumblebee,q,q,y|MOT,9666490_9667720,bumblebee
*FAN,bumblebee,d,y,MOT,9941760_9943020,bumblebee
*FAN,bunny,r,y,MOT,12264890_12267090,bunny
*FAN,butterfly,r,y,MOT,12164760_12167830,butterfly
*FAN,button,n,y,MOT,9725010_9726010,button
*FAN,button,i,y,MOT,39778500_39781430,button
*FAF,buttons,d,y,MOT,10939400_10940450,button
*FAN,buttons,d,y,MOT,19782980_19785970,button
*MAN,cabinet,d,n,FAT,19309830_19312060,cabinet
*MAN,cabinet,d,n,FAT,19313020_19314800,cabinet
*MAN,car,q,n,FAT,1583320_1584380,car
*FAN,car,q,n,MOT,27388950_27390080,car
*MAN,cars,d,n,FAT,10358360_10359960,car
*MAN,car+seat,q,n,FAT,18817400_18820570,car+seat
*MAN,car+seat,d,y,MOT,27492690_27494540,car+seat
*FAN,card,q,y,MOT,20277400_20278400,card
*TVF,carrot,n,y,MOT,37395050_37397140,carrot
*MAN,carrot,d,y,FAT,37507550_37509480,carrot
*FAN,carrots,q,n,MOT,41830790_41831890,carrot
*OLN,carrots,n,y,MOT,36920130_36957000,carrot
*OLN,carrots,n,y,MOT,36920130_36957000,carrot
*OLN,carrots,d,y,MOT,36989850_36993500,carrot
*FAF,carrots,q,n,MOT,41828760_41829760,carrot
*FAF,carrots,d,n,MOT,41843680_41845200,carrot
*CXN,carrots,d,n,MOT,41846650_41848050,carrot
*FAN,cat,r,y,MOT,12143310_12148080,cat
*FAN,cat,r,y,MOT,12149820_12153020,cat
*NOF,cat,d,n,GRM,18770080_18770990,cat
*MAN,cat,i,y,GRM,39246360_39247650,cat
*FAN,cat,d,n,GRM,39254340_39256980,cat
*NON,cat,d,n,GRM,39256980_39257790,cat
*MAN,cat,i,y,MOT,39328020_39329020,cat
*FAN,cat,i,n,FAT,39788260_39789260,cat
*MAF,cat,d,n,AUN,39792650_39793690,cat
*OLN,cat,d,y,AUN,39794490_39795490,cat
*MAN,cat,q,y,FAT,40682030_40684190,cat
*FAN,cat,q,y,GRM,40760090_40761370,cat
*NOF,cat,q,y,GRM,40764170_40766910,cat
*MAN,cats,q,y,FAT,39494570_39498860,cat
*FAN,caterpillar,q,y,MOT,18845410_18847070,caterpillar
*FAN,caterpillar,q,n,MOT,20424470_20425470,caterpillar
*CXN,caterpillar,n,y,FAT,20426800_20427910,caterpillar
*FAN,caterpillar,n,y,MOT,20431050_20432010,caterpillar
*OLF,chair,d,y,FAT,542390_543530,chair
*MAN,changing+table,q,n,FAT,1358790_1360520,changing+table
*MAN,changing+table,d,y,FAT,10815670_10817670,changing+table
*MAN,changing+table,q,y,FAT,21729120_21730570,changing+table
*FAN,cheeks,d,y,MOT,27441600_27442600,cheek
*OLN,cheese,d,y,MOT,37274440_37275940,cheese
*OLN,cheese,d,y,MOT,37277740_37282020,cheese
*FAN,chest,i,y,MOT,41800160_41801160,chest
*FAN,chest,i,y,MOT,41801960_41802960,chest
*FAN,chickadee,r,y,MOT,22187350_22189410,chickadee
*MAN,chin,d,y,FAT,36466580_36467580,chin
*FAN,chin,q,y,MOT,43132060_43133450,chin
*FAN,claws,r,y,MOT,22207470_22212150,claw
*MAN,closet,d,n,FAT,19062030_19064570,closet
*MAN,coffee,q,y,MOT,18221640_18225390,coffee
*SIL,coffee,d,y,FAT,19192950_19193750,coffee
*FAN,computer,q,n,MOT,18339110_18340670,computer
*CXN,computer,d,y,MOT,18368580_18369430,computer
*MAN,computer,q,y,MOT,21416050_21418710,computer
*FAN,cones,r,y,MOT,22239010_22240820,cone
*FAN,cones,r,y,MOT,22260740_22262180,cone
*MAN,couch,q,y,FAT,1689040_1690280,couch
*FAN,couch,q,y,MOT,9261810_9263360,couch
*FAN,couch,q,y,MOT,9264420_9265860,couch
*FAN,crabs,r,y,MOT,22286580_22290750,crab
*MAF,crackers,d,y,MOT,9343650_9344730,cracker
*FAN,cup,n,y,MOT,17356990_17358430,cup
*NOF,cup,q,y,MOT,17943780_17944580,cup
*MAN,cup,d,n,MOT,18015490_18019020,cup
*FAN,cup,d,y,MOT,18661110_18662480,cup
*MAN,cup,d,y,FAT,19258400_19260050,cup
*MAN,cup,d,y,FAT,19261430_19263110,cup
*MAN,cup,d,y,FAT,19264130_19266450,cup
*OLN,cup,d,y,MOT,19803480_19804420,cup
*FAN,cups,q,y,MOT,18404380_18405355,cup
*MAN,cups,q,y,MOT,19794660_19795680,cup
*FAN,cups,d,y,MOT,19799960_19800960,cup
*OLN,cups,q,y,MOT,19805470_19806270,cup
*OLN,cups,q,y,MOT,40114320_40115120,cup
*OLN,curl,r,y,MOT,12283340_12284450,curl
*FAN,Daddy+Bird,r,y,MOT,12210460_12214040,Daddy+Bird
*FAN,Daddy+Cat,r,y,MOT,12143310_12148080,Daddy+Cat
*FAN,Daddy+Horse,r,y,MOT,12173890_12175850,Daddy+Horse
*FAN,Daddy+Snake,r,y,MOT,12240730_12244420,Daddy+Snake
*FAF,diaper,q,n,MOT,9494080_9495080,diaper
*OLN,diaper,d,y,MOT,10456370_10457240,diaper
*CHN,diaper,d,y,FAT,10465260_10466020,diaper
*FAN,diaper,q,y,MOT,10470180_10472170,diaper
*FAN,diaper,q,y,MOT,10473990_10475720,diaper
*MAN,diaper,d,n,FAT,10652960_10653960,diaper
*MAN,diaper,d,n,MOT,18060220_18064720,diaper
*MAN,diaper,q,n,FAT,18706140_18707480,diaper
*FAN,diaper,q,n,MOT,18707480_18709810,diaper
