"rank"   "source"   "word"      "in_general"  "count"

1      audio   kitty      True  28
2      audio   toe      True  24
2      audio   diaper      True  24
3      audio   head      True  23
4      audio   foot      True  22
5      audio   piggy      True  20
6      audio   sock      True  18
7      audio   leg      True  17
7      audio   train      True  17
7      audio   vest      False  17
7      audio   elephant      True  17
7      audio   hand      True  17
8      audio   arm      True  15
8      audio   bath      True  15
9      audio   nose      True  14
9      audio   cat      True  14
10      audio   pepper      False  13
11      audio   giraffe      True  12
11      audio   pants      True  12
12      audio   eye      True  11
12      audio   book      True  11
12      audio   belly      False  11
12      audio   mouth      True  11
13      audio   monkey      True  9
13      audio   carrot      False  9
13      audio   shirt      True  9
14      audio   bird      True  8
14      audio   medicine      True  8
14      audio   meatball      False  8
15      audio   wipe      False  7
15      audio   page      False  7
15      audio   face      True  7
1      video   carrot      False  16
2      video   apple+sauce      False  14
2      video   ring      False  14
3      video   bottle      True  13
4      video   book      True  11
5      video   spoon      True  10
6      video   hand      True  8
6      video   bunny      True  8
7      video   face      True  7
8      video   lion      True  6
8      video   camera      False  6
8      video   ladybug      False  6
9      video   shot      False  5
9      video   tower      True  5
10      video   milk      True  4
10      video   caterpillar      False  4
10      video   page      False  4
10      video   flower      True  4
10      video   fork      True  4
10      video   ear      True  4
10      video   froggy      False  4
10      video   sandwich      False  4
11      video   dish      True  3
11      video   hat      True  3
11      video   foot      True  3
11      video   nose      True  3
11      video   glasses      True  3
11      video   booger      False  3
11      video   leg      True  3
11      video   sloppy+joe      False  3
11      video   baggy      False  3
11      video   belly      False  3
12      video   Farmyard+Alphabet      False  2
12      video   chair      True  2
12      video   oxygen      False  2
12      video   nipple      False  2
12      video   quilt      False  2
12      video   birdy      False  2
12      video   piggy      True  2
12      video   O      False  2
12      video   W      False  2
12      video   skin      False  2
12      video   apple      True  2
12      video   F      False  2
12      video   cat      True  2
12      video   can      False  2
12      video   pig      True  2
12      video   drawer      True  2
12      video   tooth      True  2
12      video   chest      False  2
12      video   E      False  2
12      video   bib      True  2
12      video   nest      False  2
12      video   egg      True  2
13      video   stove      True  1
13      video   Z      False  1
13      video   jar      False  1
13      video   jam      False  1
13      video   farmer      False  1
13      video   pumpkin      False  1
13      video   plate      True  1
13      video   D      False  1
13      video   H      False  1
13      video   Duckling      False  1
13      video   L      False  1
13      video   P      False  1
13      video   fan      False  1
13      video   T      False  1
13      video   X      False  1
13      video   nostril      False  1
13      video   tray      False  1
13      video   crow      False  1
13      video   goose      True  1
13      video   barn      False  1
13      video   pen      True  1
13      video   rooster      False  1
13      video   fridge+handle      False  1
13      video   medicine      True  1
13      video   corn      False  1
13      video   C      False  1
13      video   G      False  1
13      video   K      False  1
13      video   S      False  1
13      video   tub      False  1
13      video   card      False  1
13      video   cow      True  1
13      video   eyeball      False  1
13      video   jelly      False  1
13      video   ox      False  1
13      video   mouth      True  1
13      video   wood      False  1
13      video   puppet      False  1
13      video   pacifier      False  1
13      video   twig      False  1
13      video   horse      True  1
13      video   hen      False  1
13      video   scarecrow      False  1
13      video   B      False  1
13      video   J      False  1
13      video   N      False  1
13      video   R      False  1
13      video   V      False  1
13      video   king      False  1
13      video   icicle      False  1
13      video   tree      True  1
13      video   bed      True  1
13      video   basic_level      False  1
13      video   grass      False  1
13      video   tractor      False  1
13      video   heart      False  1
13      video   lamb      True  1
13      video   A      False  1
13      video   snail      False  1
13      video   I      False  1
13      video   M      False  1
13      video   fridge      False  1
13      video   Mousey      False  1
13      video   Y      False  1
13      video   U      False  1
13      video   drain      False  1
13      video   dog      True  1
13      video   five      False  1
13      video   chin+strap      False  1
